text,intent
Drive backward slowly,MOVE_BACKWARD
Retreat carefully,MOVE_BACKWARD
Proceed backward with caution,MOVE_BACKWARD
Go straight back,MOVE_BACKWARD
Move backward a little bit,MOVE_BACKWARD
Go back just a bit,MOVE_BACKWARD
Reverse slightly,MOVE_BACKWARD
Proceed a short distance backward,MOVE_BACKWARD
Drive backward a couple of inches,MOVE_BACKWARD
Move back for a few feet,MOVE_BACKWARD
Go back by one meter,MOVE_BACKWARD
Retreat backward by two meters,MOVE_BACKWARD
Drive backward five units,MOVE_BACKWARD
Move back ten centimeters,MOVE_BACKWARD
Slowly back away from the target,MOVE_BACKWARD
Gently move backward,MOVE_BACKWARD
Gradually reverse straight,MOVE_BACKWARD
Smoothly proceed backward,MOVE_BACKWARD
Initiate backward movement,MOVE_BACKWARD
Start moving backward,MOVE_BACKWARD
Begin reversing straight,MOVE_BACKWARD
Activate backward drive,MOVE_BACKWARD
Execute backward motion,MOVE_BACKWARD
Set direction to backward,MOVE_BACKWARD
Go backward until I say stop,MOVE_BACKWARD
Keep driving backward until further notice,MOVE_BACKWARD
Continue retreating until you reach the wall,MOVE_BACKWARD
Move back until the path ends,MOVE_BACKWARD
Proceed backward until an obstacle is detected,MOVE_BACKWARD
Drive backward continuously,MOVE_BACKWARD
Retreat backward indefinitely,MOVE_BACKWARD
Roll backward,MOVE_BACKWARD
Roll straight back,MOVE_BACKWARD
Keep rolling backward,MOVE_BACKWARD
Navigate backward,MOVE_BACKWARD
Navigate straight back,MOVE_BACKWARD
Steer backward,MOVE_BACKWARD
Steer back,MOVE_BACKWARD
Track backward,MOVE_BACKWARD
Track straight back,MOVE_BACKWARD
Cruise backward,MOVE_BACKWARD
Cruise back,MOVE_BACKWARD
Make your way backward,MOVE_BACKWARD
Head directly backward,MOVE_BACKWARD
Go backward away from the object,MOVE_BACKWARD
Move backward away from the desk,MOVE_BACKWARD
Retreat straight from the marker,MOVE_BACKWARD
Proceed backward from the line,MOVE_BACKWARD
Drive back out of the room,MOVE_BACKWARD
Move backward through the doorway,MOVE_BACKWARD
Go back into the previous zone,MOVE_BACKWARD
Retreat to the rear,MOVE_BACKWARD
Move to the back position,MOVE_BACKWARD
Proceed to the backward waypoint,MOVE_BACKWARD
Drive to the next point behind,MOVE_BACKWARD
Hey robot please move backward,MOVE_BACKWARD
Okay buddy go backward,MOVE_BACKWARD
Can you please drive backward now,MOVE_BACKWARD
It is time to move backward,MOVE_BACKWARD
Let us reverse straight,MOVE_BACKWARD
We need to go backward,MOVE_BACKWARD
You should proceed back,MOVE_BACKWARD
I would like you to move backward,MOVE_BACKWARD
My request is for you to drive backward,MOVE_BACKWARD
Your next task is to reverse forward motion,MOVE_BACKWARD
Command execute backward movement,MOVE_BACKWARD
Instruction set drive to reverse,MOVE_BACKWARD
System initiate backward travel,MOVE_BACKWARD
Robot head straight back,MOVE_BACKWARD
Move backward at low speed,MOVE_BACKWARD
Go back at medium speed,MOVE_BACKWARD
Reverse backward at high speed,MOVE_BACKWARD
Proceed back at half speed,MOVE_BACKWARD
Drive backward at full speed,MOVE_BACKWARD
Move backward at a steady pace,MOVE_BACKWARD
Go back with constant velocity,MOVE_BACKWARD
Reverse with negative acceleration,MOVE_BACKWARD
Proceed backward smoothly,MOVE_BACKWARD
Drive back without stopping,MOVE_BACKWARD
Go backward once more,MOVE_BACKWARD
Move back again,MOVE_BACKWARD
Reverse backward another time,MOVE_BACKWARD
Proceed back as before,MOVE_BACKWARD
Resume backward movement,MOVE_BACKWARD
Restart backward drive,MOVE_BACKWARD
Continue your backward path,MOVE_BACKWARD
Go back like you were doing,MOVE_BACKWARD
Move backward in a straight line,MOVE_BACKWARD
Retreat along the linear path,MOVE_BACKWARD
Proceed backward on this trajectory,MOVE_BACKWARD
Drive back along the axis,MOVE_BACKWARD
Travel backward in this direction,MOVE_BACKWARD
Head backward along the corridor,MOVE_BACKWARD
Go back down the hallway,MOVE_BACKWARD
Move backward across the floor,MOVE_BACKWARD
Retreat backward into the open space,MOVE_BACKWARD
Proceed back to the designated area,MOVE_BACKWARD
Drive backward carefully to avoid collisions,MOVE_BACKWARD
Please move backward to clear the space,MOVE_BACKWARD
Go back to make room,MOVE_BACKWARD
Retreat backward to get a wider look,MOVE_BACKWARD
Proceed back to inspect the perimeter,MOVE_BACKWARD
Drive back to lengthen the distance,MOVE_BACKWARD
Move backward to open the gap,MOVE_BACKWARD
Go back to increase the space,MOVE_BACKWARD
Retreat straight to maximize the distance,MOVE_BACKWARD
Proceed backward to clear the destination,MOVE_BACKWARD
Drive back until you are clear,MOVE_BACKWARD
Move backward until you are away,MOVE_BACKWARD
Go back until you arrive at base,MOVE_BACKWARD
Retreat backward until you are there,MOVE_BACKWARD
Proceed back until you get further away,MOVE_BACKWARD
Drive back until positioned correctly,MOVE_BACKWARD
Move backward to align your base,MOVE_BACKWARD
Go back to center yourself,MOVE_BACKWARD
Retreat backward to adjust your position,MOVE_BACKWARD
Proceed back to calibrate distance,MOVE_BACKWARD
Drive back to verify the path,MOVE_BACKWARD
Move backward as per the layout,MOVE_BACKWARD
Go back according to plan,MOVE_BACKWARD
Retreat backward on the grid,MOVE_BACKWARD
Proceed back along the coordinates,MOVE_BACKWARD
Drive backward on the specified route,MOVE_BACKWARD
Travel back on the current vector,MOVE_BACKWARD
Head backward to the safety zone,MOVE_BACKWARD
Go back to the charging station,MOVE_BACKWARD
Move backward to the docking area,MOVE_BACKWARD
Retreat backward to the starting point,MOVE_BACKWARD
Proceed back to the drop-off location,MOVE_BACKWARD
Drive back to the pickup spot,MOVE_BACKWARD
Move backward toward the main entrance,MOVE_BACKWARD
Go back toward the exit sign,MOVE_BACKWARD
Retreat backward toward the lights,MOVE_BACKWARD
Proceed back toward the sensor marker,MOVE_BACKWARD
Drive back toward the camera view,MOVE_BACKWARD
Move backward out of the scanning field,MOVE_BACKWARD
Go back into the workspace,MOVE_BACKWARD
Retreat backward into the center room,MOVE_BACKWARD
Proceed back into the designated lane,MOVE_BACKWARD
Drive back into the storage unit,MOVE_BACKWARD
Move backward with a minimal increment,MOVE_BACKWARD
Go back with a slight nudge,MOVE_BACKWARD
Retreat backward by a tiny fraction,MOVE_BACKWARD
Proceed back just a hair,MOVE_BACKWARD
Drive back by a small step,MOVE_BACKWARD
Move backward one pace,MOVE_BACKWARD
Go back two paces,MOVE_BACKWARD
Retreat backward three paces,MOVE_BACKWARD
Proceed back four paces,MOVE_BACKWARD
Drive back five paces,MOVE_BACKWARD
Move backward along the centerline,MOVE_BACKWARD
Go back down the main path,MOVE_BACKWARD
Retreat backward on the track,MOVE_BACKWARD
Proceed back via the straight route,MOVE_BACKWARD
Drive back through the clear opening,MOVE_BACKWARD
Left,TURN_LEFT
Turn left,TURN_LEFT
Rotate left,TURN_LEFT
Face left,TURN_LEFT
Pivot left,TURN_LEFT
Swing left,TURN_LEFT
Steer left,TURN_LEFT
Turn toward the left,TURN_LEFT
Rotate toward the left,TURN_LEFT
Pivot toward the left,TURN_LEFT
Steer toward the left,TURN_LEFT
Make a left turn,TURN_LEFT
Execute a left rotation,TURN_LEFT
Perform a left pivot,TURN_LEFT
Do a left turn,TURN_LEFT
Turn counterclockwise,TURN_LEFT
Rotate counterclockwise,TURN_LEFT
Pivot counterclockwise,TURN_LEFT
Swing counterclockwise,TURN_LEFT
Steer counterclockwise,TURN_LEFT
Please turn left,TURN_LEFT
Please rotate left,TURN_LEFT
Please pivot left,TURN_LEFT
Kindly turn left,TURN_LEFT
Kindly rotate left,TURN_LEFT
Could you turn left,TURN_LEFT
Could you rotate to the left,TURN_LEFT
Would you mind turning left,TURN_LEFT
Can you pivot left for me,TURN_LEFT
I need you to turn left,TURN_LEFT
I want you to rotate left,TURN_LEFT
Please continue turning left,TURN_LEFT
Keep turning left,TURN_LEFT
Keep rotating left,TURN_LEFT
Continue pivoting left,TURN_LEFT
Maintain left rotation,TURN_LEFT
Turn left slowly,TURN_LEFT
Rotate left carefully,TURN_LEFT
Pivot left with caution,TURN_LEFT
Swing left gently,TURN_LEFT
Turn left a little bit,TURN_LEFT
Rotate left just a bit,TURN_LEFT
Pivot left slightly,TURN_LEFT
Swing left a short distance,TURN_LEFT
Steer left a couple of inches,TURN_LEFT
Turn left ninety degrees,TURN_LEFT
Rotate left forty five degrees,TURN_LEFT
Pivot left one hundred eighty degrees,TURN_LEFT
Swing left thirty degrees,TURN_LEFT
Steer left sixty degrees,TURN_LEFT
Slowly turn toward the left,TURN_LEFT
Gently rotate left,TURN_LEFT
Gradually pivot left,TURN_LEFT
Smoothly swing left,TURN_LEFT
Initiate left turn,TURN_LEFT
Start rotating left,TURN_LEFT
Begin pivoting left,TURN_LEFT
Activate left steering,TURN_LEFT
Execute left pivot,TURN_LEFT
Set direction to left,TURN_LEFT
Turn left until I say stop,TURN_LEFT
Keep rotating left until further notice,TURN_LEFT
Continue pivoting left until you face the wall,TURN_LEFT
Swing left until the path opens,TURN_LEFT
Steer left until an obstacle is avoided,TURN_LEFT
Turn left continuously,TURN_LEFT
Rotate left indefinitely,TURN_LEFT
Roll left,TURN_LEFT
Roll toward the left,TURN_LEFT
Keep rolling left,TURN_LEFT
Navigate left,TURN_LEFT
Navigate toward the left,TURN_LEFT
Steer the chassis left,TURN_LEFT
Adjust heading to the left,TURN_LEFT
Track toward the left,TURN_LEFT
Change heading to left,TURN_LEFT
Cruise left,TURN_LEFT
Veer left,TURN_LEFT
Make your way left,TURN_LEFT
Head directly left,TURN_LEFT
Turn left toward the object,TURN_LEFT
Rotate left toward the desk,TURN_LEFT
Pivot left to the marker,TURN_LEFT
Swing left to the line,TURN_LEFT
Steer left into the room,TURN_LEFT
Turn left through the doorway,TURN_LEFT
Rotate left into the next zone,TURN_LEFT
Pivot to the left side,TURN_LEFT
Move heading to the left position,TURN_LEFT
Proceed to the left waypoint,TURN_LEFT
Steer to the next point on the left,TURN_LEFT
Hey robot please turn left,TURN_LEFT
Okay buddy rotate left,TURN_LEFT
Can you please pivot left now,TURN_LEFT
It is time to turn left,TURN_LEFT
Let us rotate left,TURN_LEFT
We need to turn left,TURN_LEFT
You should pivot left,TURN_LEFT
I would like you to steer left,TURN_LEFT
My request is for you to turn left,TURN_LEFT
Your next task is to rotate left,TURN_LEFT
Command execute left turn,TURN_LEFT
Instruction set orientation to left,TURN_LEFT
System initiate left pivot,TURN_LEFT
Robot head toward the left,TURN_LEFT
Turn left at low speed,TURN_LEFT
Rotate left at medium speed,TURN_LEFT
Pivot left at high speed,TURN_LEFT
Swing left at half speed,TURN_LEFT
Steer left at full speed,TURN_LEFT
Turn left at a steady pace,TURN_LEFT
Rotate left with constant velocity,TURN_LEFT
Pivot left with positive acceleration,TURN_LEFT
Swing left smoothly,TURN_LEFT
Steer left without stopping,TURN_LEFT
Turn left once more,TURN_LEFT
Rotate left again,TURN_LEFT
Pivot left another time,TURN_LEFT
Swing left as before,TURN_LEFT
Resume left rotation,TURN_LEFT
Restart left turn,TURN_LEFT
Continue your left pivot,TURN_LEFT
Turn left like you were doing,TURN_LEFT
Rotate left in a sharp manner,TURN_LEFT
Pivot left along the circular path,TURN_LEFT
Swing left on this trajectory,TURN_LEFT
Steer left along the axis,TURN_LEFT
Travel left in this direction,TURN_LEFT
Head left along the corridor,TURN_LEFT
Turn left down the hallway,TURN_LEFT
Rotate left across the floor,TURN_LEFT
Pivot left into the open space,TURN_LEFT
Swing left to the designated area,TURN_LEFT
Steer left carefully to avoid collisions,TURN_LEFT
Please turn left to clear the space,TURN_LEFT
Rotate left to make room,TURN_LEFT
Pivot left to get a closer look,TURN_LEFT
Swing left to inspect the item,TURN_LEFT
Steer left to shorten the distance,TURN_LEFT
Turn left to close the gap,TURN_LEFT
Rotate left to reduce the space,TURN_LEFT
Pivot left to minimize the distance,TURN_LEFT
Swing left to reach the destination,TURN_LEFT
Steer left until you are close,TURN_LEFT
Turn left until you are near,TURN_LEFT
Rotate left until you arrive,TURN_LEFT
Pivot left until you are there,TURN_LEFT
Swing left until you get closer,TURN_LEFT
Steer left until positioned correctly,TURN_LEFT
Turn left to align your base,TURN_LEFT
Rotate left to center yourself,TURN_LEFT
Pivot left to adjust your position,TURN_LEFT
Swing left to calibrate direction,TURN_LEFT
Steer left to verify the path,TURN_LEFT
Turn left as per the layout,TURN_LEFT
Rotate left according to plan,TURN_LEFT
Pivot left on the grid,TURN_LEFT
Swing left along the coordinates,TURN_LEFT
Steer left on the specified route,TURN_LEFT
Travel left on the current vector,TURN_LEFT
Head left to the target zone,TURN_LEFT
Turn left to the charging station,TURN_LEFT
Rotate left to the docking area,TURN_LEFT
Pivot left to the inspection point,TURN_LEFT
Swing left to the drop-off location,TURN_LEFT
Steer left to the pickup spot,TURN_LEFT
Turn left toward the main entrance,TURN_LEFT
Rotate left toward the exit sign,TURN_LEFT
Pivot left toward the lights,TURN_LEFT
Swing left toward the sensor marker,TURN_LEFT
Steer left toward the camera view,TURN_LEFT
Turn left into the scanning field,TURN_LEFT
Rotate left into the workspace,TURN_LEFT
Pivot left into the center room,TURN_LEFT
Swing left into the designated lane,TURN_LEFT
Steer left into the storage unit,TURN_LEFT
Turn left with a minimal increment,TURN_LEFT
Rotate left with a slight nudge,TURN_LEFT
Pivot left by a tiny fraction,TURN_LEFT
Swing left just a hair,TURN_LEFT
Steer left by a small step,TURN_LEFT
Turn left one degree,TURN_LEFT
Rotate left five degrees,TURN_LEFT
Pivot left ten degrees,TURN_LEFT
Swing left fifteen degrees,TURN_LEFT
Steer left twenty degrees,TURN_LEFT
Turn left along the centerline,TURN_LEFT
Rotate left down the main path,TURN_LEFT
Pivot left on the track,TURN_LEFT
Swing left via the straight route,TURN_LEFT
Steer left through the clear opening,TURN_LEFT
Right,TURN_RIGHT
Turn right,TURN_RIGHT
Rotate right,TURN_RIGHT
Face right,TURN_RIGHT
Pivot right,TURN_RIGHT
Swing right,TURN_RIGHT
Steer right,TURN_RIGHT
Turn toward the right,TURN_RIGHT
Rotate toward the right,TURN_RIGHT
Pivot toward the right,TURN_RIGHT
Steer toward the right,TURN_RIGHT
Make a right turn,TURN_RIGHT
Execute a right rotation,TURN_RIGHT
Perform a right pivot,TURN_RIGHT
Do a right turn,TURN_RIGHT
Turn clockwise,TURN_RIGHT
Rotate clockwise,TURN_RIGHT
Pivot clockwise,TURN_RIGHT
Swing clockwise,TURN_RIGHT
Steer clockwise,TURN_RIGHT
Please turn right,TURN_RIGHT
Please rotate right,TURN_RIGHT
Please pivot right,TURN_RIGHT
Kindly turn right,TURN_RIGHT
Kindly rotate right,TURN_RIGHT
Could you turn right,TURN_RIGHT
Could you rotate to the right,TURN_RIGHT
Would you mind turning right,TURN_RIGHT
Can you pivot right for me,TURN_RIGHT
I need you to turn right,TURN_RIGHT
I want you to rotate right,TURN_RIGHT
Please continue turning right,TURN_RIGHT
Keep turning right,TURN_RIGHT
Keep rotating right,TURN_RIGHT
Continue pivoting right,TURN_RIGHT
Maintain right rotation,TURN_RIGHT
Turn right slowly,TURN_RIGHT
Rotate right carefully,TURN_RIGHT
Pivot right with caution,TURN_RIGHT
Swing right gently,TURN_RIGHT
Turn right a little bit,TURN_RIGHT
Rotate right just a bit,TURN_RIGHT
Pivot right slightly,TURN_RIGHT
Swing right a short distance,TURN_RIGHT
Steer right a couple of inches,TURN_RIGHT
Turn right ninety degrees,TURN_RIGHT
Rotate right forty five degrees,TURN_RIGHT
Pivot right one hundred eighty degrees,TURN_RIGHT
Swing right thirty degrees,TURN_RIGHT
Steer right sixty degrees,TURN_RIGHT
Slowly turn toward the right,TURN_RIGHT
Gently rotate right,TURN_RIGHT
Gradually pivot right,TURN_RIGHT
Smoothly swing right,TURN_RIGHT
Initiate right turn,TURN_RIGHT
Start rotating right,TURN_RIGHT
Begin pivoting right,TURN_RIGHT
Activate right steering,TURN_RIGHT
Execute right pivot,TURN_RIGHT
Set direction to right,TURN_RIGHT
Turn right until I say stop,TURN_RIGHT
Keep rotating right until further notice,TURN_RIGHT
Continue pivoting right until you face the wall,TURN_RIGHT
Swing right until the path opens,TURN_RIGHT
Steer right until an obstacle is avoided,TURN_RIGHT
Turn right continuously,TURN_RIGHT
Rotate right indefinitely,TURN_RIGHT
Roll right,TURN_RIGHT
Roll toward the right,TURN_RIGHT
Keep rolling right,TURN_RIGHT
Navigate right,TURN_RIGHT
Navigate toward the right,TURN_RIGHT
Steer the chassis right,TURN_RIGHT
Adjust heading to the right,TURN_RIGHT
Track toward the right,TURN_RIGHT
Change heading to right,TURN_RIGHT
Cruise right,TURN_RIGHT
Veer right,TURN_RIGHT
Make your way right,TURN_RIGHT
Head directly right,TURN_RIGHT
Turn right toward the object,TURN_RIGHT
Rotate right toward the desk,TURN_RIGHT
Pivot right to the marker,TURN_RIGHT
Swing right to the line,TURN_RIGHT
Steer right into the room,TURN_RIGHT
Turn right through the doorway,TURN_RIGHT
Rotate right into the next zone,TURN_RIGHT
Pivot to the right side,TURN_RIGHT
Move heading to the right position,TURN_RIGHT
Proceed to the right waypoint,TURN_RIGHT
Steer to the next point on the right,TURN_RIGHT
Hey robot please turn right,TURN_RIGHT
Okay buddy rotate right,TURN_RIGHT
Can you please pivot right now,TURN_RIGHT
It is time to turn right,TURN_RIGHT
Let us rotate right,TURN_RIGHT
We need to turn right,TURN_RIGHT
You should pivot right,TURN_RIGHT
I would like you to steer right,TURN_RIGHT
My request is for you to turn right,TURN_RIGHT
Your next task is to rotate right,TURN_RIGHT
Command execute right turn,TURN_RIGHT
Instruction set orientation to right,TURN_RIGHT
System initiate right pivot,TURN_RIGHT
Robot head toward the right,TURN_RIGHT
Turn right at low speed,TURN_RIGHT
Rotate right at medium speed,TURN_RIGHT
Pivot right at high speed,TURN_RIGHT
Swing right at half speed,TURN_RIGHT
Steer right at full speed,TURN_RIGHT
Turn right at a steady pace,TURN_RIGHT
Rotate right with constant velocity,TURN_RIGHT
Pivot right with positive acceleration,TURN_RIGHT
Swing right smoothly,TURN_RIGHT
Steer right without stopping,TURN_RIGHT
Turn right once more,TURN_RIGHT
Rotate right again,TURN_RIGHT
Pivot right another time,TURN_RIGHT
Swing right as before,TURN_RIGHT
Resume right rotation,TURN_RIGHT
Restart right turn,TURN_RIGHT
Continue your right pivot,TURN_RIGHT
Turn right like you were doing,TURN_RIGHT
Rotate right in a sharp manner,TURN_RIGHT
Pivot right along the circular path,TURN_RIGHT
Swing right on this trajectory,TURN_RIGHT
Steer right along the axis,TURN_RIGHT
Travel right in this direction,TURN_RIGHT
Head right along the corridor,TURN_RIGHT
Turn right down the hallway,TURN_RIGHT
Rotate right across the floor,TURN_RIGHT
Pivot right into the open space,TURN_RIGHT
Swing right to the designated area,TURN_RIGHT
